,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
68,-4.2,-2.4,-6.2,-21.8,-10.8,-20.0,4.874423042781576,1.4966629547095767,5.912698199637792,3.9698866482558417,14.062716664997556,5.830951894845301
69,-5.2,-3.6,-6.4,-10.6,-28.0,-13.2,3.1874754901018454,3.2,5.6780278266313555,11.637869220780924,2.0976176963403033,3.7094473981982814
70,-2.6,-2.8,-4.6,-1.0,-1.6,-15.2,5.425863986500215,1.16619037896906,3.9293765408777004,3.521363372331802,2.65329983228432,4.707440918375928
71,-1.8,-1.8,0.2,-18.2,-11.6,-14.0,0.9797958971132712,1.9390719429665317,0.7483314773547883,8.084553172563094,15.435025105259788,2.756809750418044
72,-9.8,-1.6,-5.2,-15.0,-11.6,-16.6,7.6000000000000005,1.9595917942265424,4.707440918375928,10.825894882179487,15.027973915335359,1.9595917942265426
73,-2.4,-0.6,0.8,-11.4,-11.4,-15.8,4.715930449020639,1.8547236990991407,0.4000000000000001,11.253443917308159,14.38888459888396,2.6381811916545836
74,-10.0,-1.0,-0.2,0.2,-12.6,-17.2,9.121403400793104,1.2649110640673518,1.9390719429665317,0.9797958971132713,14.677874505527017,4.261455150532504
75,-2.6,1.0,-0.2,0.4,-18.0,-15.6,2.154065922853802,0.0,2.4000000000000004,0.7999999999999999,15.11290838985005,2.6532998322843198
76,-1.6,-8.6,0.0,0.0,-6.2,-13.0,3.3226495451672298,11.825396399275585,0.8944271909999159,1.0954451150103321,11.93984924527944,3.847076812334269
77,-2.0,-3.0,-9.8,-12.6,-23.6,-19.8,3.687817782917155,4.857983120596447,3.54400902933387,9.891410415102591,12.026637102698325,1.7204650534085253
78,-1.0,-1.4,-6.6,-11.4,-17.4,-19.2,1.6733200530681511,1.4966629547095767,4.454211490264018,10.170545708072897,14.62326912834473,1.5999999999999999
79,0.8,-3.4,-3.0,-6.0,-18.2,-14.6,0.4,3.1368774282716245,4.33589667773576,4.732863826479693,14.878171930717834,1.3564659966250536
80,-6.6,-1.4,-1.4,-14.0,-19.6,-18.4,10.461357464497615,1.4966629547095767,1.854723699099141,10.73312629199899,12.642784503423286,2.0591260281974
81,-5.4,-3.8,-9.0,0.0,-18.4,-16.6,7.605261336732618,1.9390719429665317,6.54217089351845,1.0954451150103321,15.43502510525979,1.3564659966250536
82,-1.6,-2.6,-6.0,-0.2,-17.8,-15.2,2.4979991993593593,2.5768197453450252,4.979959839195493,1.4696938456699067,15.354478174135387,1.4696938456699067
83,-4.8,-1.0,-4.0,-7.8,-5.8,-19.6,2.5612496949731396,1.8973665961010275,2.0,10.759182125050211,12.106196760337244,5.122499389946279
84,-0.8,-0.6,-9.2,-4.6,-6.8,-14.0,1.32664991614216,0.8,5.114684741017769,10.209799214480174,9.431860898041277,2.449489742783178
85,-1.6,-2.0,-2.8,-10.2,-17.0,-17.4,1.7435595774162693,2.280350850198276,4.445222154178574,11.391224692718513,14.51895313030523,3.1368774282716245
86,-2.8,-1.8,-6.6,-0.8,-11.0,-15.6,4.166533331199932,3.655133376499413,5.885575587824865,2.1354156504062622,14.324803663575986,5.885575587824865
87,-3.0,-2.2,-6.6,-9.6,-6.4,-19.2,2.449489742783178,2.4000000000000004,6.2801273872430325,10.87382177525455,11.825396399275586,5.878775382679628
88,-6.6,-2.2,-3.6,-0.4,-18.8,-18.6,3.826225293941799,3.4292856398964493,5.642694391866354,1.4966629547095764,14.985326155943353,1.854723699099141
89,-1.2,-2.8,-6.4,-9.4,-5.4,-19.2,3.919183588453085,4.955804677345546,5.678027826631356,9.728309205612248,12.30609605033213,2.85657137141714
90,-5.8,-4.8,-1.8,-14.0,-20.4,-14.4,5.706137047074843,4.1182520563948,4.621688003316537,11.865917579353061,11.77454882362802,2.4979991993593593
91,-5.6,-4.4,-4.2,-5.0,-18.6,-16.2,9.3936148526539,5.817215828899594,4.995998398718719,9.612491872558333,14.786480311419618,1.9390719429665317
92,-2.2,-3.4,-8.6,-7.2,-12.0,-18.2,3.3704599092705436,2.4166091947189146,4.963869458396343,8.908422980528035,14.724129855444769,3.867815921162743
93,-2.0,-4.4,-6.0,-6.0,-17.6,-15.6,1.4142135623730951,5.2,6.164414002968976,9.959919678390985,12.84678948220138,3.0724582991474434
94,-4.6,-5.0,-2.6,-3.8,-18.6,-16.4,5.314132102234569,4.8166378315169185,4.923413450036469,9.108238029388561,13.573503600765722,4.31740662898458
95,-0.2,-4.2,-2.2,-7.4,-12.6,-12.6,0.7483314773547883,2.7856776554368237,4.445222154178574,10.461357464497617,14.677874505527017,3.720215047547655
96,-5.2,-5.8,-3.8,-8.2,-5.8,-17.6,7.30479294709987,4.166533331199932,4.955804677345546,10.628264204469138,12.607934009979589,2.8705400188814645
97,-6.8,-3.6,-5.6,-5.4,-11.2,-17.8,5.81033561853358,3.261901286060018,5.043808085167396,10.403845442911964,14.551975810864997,1.32664991614216
98,-3.8,-2.2,-6.2,-5.4,-10.0,-21.6,4.707440918375928,5.418486873657627,4.578209256903839,8.957678270623477,12.696456198483101,3.006659275674582
99,-10.4,-5.8,-6.8,-10.2,-18.6,-16.2,8.616263691415206,6.337191807101944,4.915282290977803,8.423775875461075,14.458215657542254,1.1661903789690602
